Химки
Время 		Угл места 
52892.9		0.125472
52893.9		0.124092
52894.9		0.122716
52895.9		0.121345
52896.9		0.119979
52897.9		0.118616
52898.9		0.117258
52899.9		0.115905
52900.9		0.114556
52901.9		0.113211
52902.9		0.11187
52903.9		0.110533
52904.9		0.109201
52905.9		0.107872
52906.9		0.106548
52907.9		0.105228
52908.9		0.103912
52909.9		0.1026
52910.9		0.101291
52911.9		0.0999873
52912.9		0.0986871
52913.9		0.0973908
52914.9		0.0960983
52915.9		0.0948097
52916.9		0.0935249
52917.9		0.0922439
52918.9		0.0909667
52919.9		0.0896932
52920.9		0.0884234
52921.9		0.0871573
52922.9		0.0858949
52923.9		0.0846361
52924.9		0.083381
52925.9		0.0821294
52926.9		0.0808814
52927.9		0.0796369
52928.9		0.0783959
52929.9		0.0771585
52930.9		0.0759245
52931.9		0.0746939
52932.9		0.0734668
52933.9		0.072243
52934.9		0.0710226
52935.9		0.0698056
52936.9		0.0685919
52937.9		0.0673815
52938.9		0.0661744
52939.9		0.0649705
52940.9		0.0637699
52941.9		0.0625725
52942.9		0.0613783
52943.9		0.0601872
52944.9		0.0589993
52945.9		0.0578145
52946.9		0.0566329
52947.9		0.0554543
52948.9		0.0542788
52949.9		0.0531063
52950.9		0.0519368
52951.9		0.0507704
52952.9		0.0496069
52953.9		0.0484464
52954.9		0.0472889
52955.9		0.0461342
52956.9		0.0449825
52957.9		0.0438336
52958.9		0.0426877
52959.9		0.0415445
52960.9		0.0404042
52961.9		0.0392667
52962.9		0.038132
52963.9		0.0370001
52964.9		0.0358709
52965.9		0.0347444
52966.9		0.0336207
52967.9		0.0324997
52968.9		0.0313813
52969.9		0.0302656
52970.9		0.0291526
52971.9		0.0280422
52972.9		0.0269344
52973.9		0.0258292
52974.9		0.0247265
52975.9		0.0236265
52976.9		0.0225289
52977.9		0.021434
52978.9		0.0203415
52979.9		0.0192515
52980.9		0.018164
52981.9		0.0170789
52982.9		0.0159964
52983.9		0.0149162
52984.9		0.0138385
52985.9		0.0127631
52986.9		0.0116902
52987.9		0.0106196
52988.9		0.00955135
52989.9		0.00848546
52990.9		0.0074219
52991.9		0.00636064
52992.9		0.00530169
52993.9		0.00424502
52994.9		0.00319061
52995.9		0.00213846
52996.9		0.00108854
52997.9		4.08533e-005
58023.9		5.62424e-005
58024.9		0.00109885
58025.9		0.00214359
58026.9		0.00319046
58027.9		0.00423948
58028.9		0.00529066
58029.9		0.00634402
58030.9		0.00739956
58031.9		0.00845731
58032.9		0.00951727
58033.9		0.0105795
58034.9		0.0116439
58035.9		0.0127106
58036.9		0.0137795
58037.9		0.0148507
58038.9		0.0159243
58039.9		0.0170001
58040.9		0.0180783
58041.9		0.0191587
58042.9		0.0202416
58043.9		0.0213268
58044.9		0.0224144
58045.9		0.0235044
58046.9		0.0245968
58047.9		0.0256916
58048.9		0.0267889
58049.9		0.0278886
58050.9		0.0289908
58051.9		0.0300954
58052.9		0.0312026
58053.9		0.0323123
58054.9		0.0334245
58055.9		0.0345393
58056.9		0.0356566
58057.9		0.0367765
58058.9		0.037899
58059.9		0.0390241
58060.9		0.0401518
58061.9		0.0412821
58062.9		0.0424152
58063.9		0.0435509
58064.9		0.0446893
58065.9		0.0458303
58066.9		0.0469742
58067.9		0.0481207
58068.9		0.04927
58069.9		0.0504221
58070.9		0.051577
58071.9		0.0527347
58072.9		0.0538952
58073.9		0.0550586
58074.9		0.0562248
58075.9		0.0573939
58076.9		0.0585659
58077.9		0.0597409
58078.9		0.0609187
58079.9		0.0620995
58080.9		0.0632833
58081.9		0.0644701
58082.9		0.0656599
58083.9		0.0668527
58084.9		0.0680485
58085.9		0.0692474
58086.9		0.0704494
58087.9		0.0716545
58088.9		0.0728628
58089.9		0.0740742
58090.9		0.0752887
58091.9		0.0765064
58092.9		0.0777273
58093.9		0.0789515
58094.9		0.0801789
58095.9		0.0814095
58096.9		0.0826434
58097.9		0.0838807
58098.9		0.0851212
58099.9		0.0863651
58100.9		0.0876124
58101.9		0.0888631
58102.9		0.0901171
58103.9		0.0913746
58104.9		0.0926356
58105.9		0.0939
58106.9		0.0951679
58107.9		0.0964394
58108.9		0.0977144
58109.9		0.0989929
58110.9		0.100275
58111.9		0.101561
58112.9		0.10285
58113.9		0.104143
58114.9		0.10544
58115.9		0.10674
58116.9		0.108044
58117.9		0.109352
58118.9		0.110664
58119.9		0.111979
